"node","time","measure","q05","q5","q95","mean","q10","q25","q75","q90","q025","q975","capacity","node_name"
62,113,"niq",46.5714084261464,68.0762422997636,91.3207480888821,67.2488028714179,51.8482691807157,60.5028543257794,77.6182369532762,85.1024392603669,31.1244716448593,93.2117062279756,37,"P3_SG_BCap_S1los_S1Arr"
62,113,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,114,"niq",47.1688562763544,68.255906057164,91.8408042589174,67.0207009388047,51.2230478393695,60.9765320164031,76.2018758810112,85.2184869813971,31.5666110915784,92.1180455357252,37,"P3_SG_BCap_S1los_S1Arr"
62,114,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,115,"niq",46.8843115497502,69.4083491720748,90.5084150581548,67.5552758533043,49.7498870652652,60.9211735947633,76.0415116134413,86.9673776113312,31.9653148490873,94.4877181386459,37,"P3_SG_BCap_S1los_S1Arr"
62,115,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,116,"niq",48.2579210509484,68.9162653172124,93.5277125526128,68.6809412790649,51.3811739696211,62.8365803205067,76.4856951693993,88.1959363619521,32.0194932625119,95.6176407600335,37,"P3_SG_BCap_S1los_S1Arr"
62,116,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,117,"niq",49.0887722217226,71.1591701461044,93.5277125526128,69.5198672757468,51.7972067609781,62.9034163772944,78.4867504341386,89.9791318840356,30.1861168067677,98.6245304763441,37,"P3_SG_BCap_S1los_S1Arr"
62,117,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,118,"niq",49.611815268316,71.0081860473764,95.74595199423,70.9805088054506,51.7777043560299,64.2891792218476,81.7767368513862,91.0937701555817,30.7445768751366,99.1707814832684,37,"P3_SG_BCap_S1los_S1Arr"
62,118,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,119,"niq",48.998115163523,71.7546474600408,96.6207243938292,71.8682019005562,51.8037280664116,64.6906123691504,83.0299406877074,92.2737462998423,30.9301605394217,101.72667282701,37,"P3_SG_BCap_S1los_S1Arr"
62,119,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,120,"niq",49.0927610020698,71.6241994837592,97.6564381579691,71.7448420039634,51.2920583520346,64.501012107708,83.9597865573924,92.6312040784894,30.3919825093219,102.44443810121,37,"P3_SG_BCap_S1los_S1Arr"
62,120,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,121,"niq",50.9010354528223,70.8731094278104,97.2766350202236,71.6443233984173,52.458163165627,64.5408588775428,82.5762310249553,92.7753075433328,30.2555381059461,102.133659669376,37,"P3_SG_BCap_S1los_S1Arr"
